timestamp,eventType,playerId,fromNode,toNode,details
341,MOVE,0,44,58,
341,MOVE,4,13,46,
341,MOVE,1,129,142,
341,MOVE,2,21,33,
341,MOVE,3,133,140,
1140,MOVE,0,58,59,
1140,MOVE,2,33,32,
1140,MOVE,1,142,141,
1140,MOVE,4,46,58,
1140,MOVE,3,140,82,
1323,MOVE,0,59,76,
1323,MOVE,1,141,133,
1323,MOVE,2,32,45,
1323,MOVE,4,58,77,
1323,MOVE,3,82,100,
1519,MOVE,0,76,61,
1519,MOVE,2,45,46,
1519,MOVE,3,100,63,
1519,MOVE,4,77,78,
1519,MOVE,1,133,140,
1833,MOVE,0,61,62,
1833,MOVE,3,63,79,
1833,MOVE,4,78,79,
1833,MOVE,1,140,82,
1833,MOVE,2,46,79,
2271,MOVE,0,62,48,
2271,MOVE,2,79,63,
2271,MOVE,3,79,63,
2271,MOVE,4,79,63,
2271,MOVE,1,82,81,
2537,MOVE,0,48,62,
2537,MOVE,1,81,64,
2537,MOVE,2,63,79,
2537,MOVE,3,63,79,
2537,MOVE,4,63,79,
2908,MOVE,0,62,48,
2908,MOVE,1,64,63,
2908,MOVE,2,79,63,
2908,MOVE,3,79,63,
2908,MOVE,4,79,63,
3138,MOVE,0,48,35,
3138,MOVE,2,63,48,
3138,MOVE,3,63,48,
3138,MOVE,4,63,48,
3138,MOVE,1,63,48,
3550,MOVE,0,35,65,
3550,MOVE,1,48,35,
3550,MOVE,2,48,35,
3550,MOVE,3,48,35,
3550,MOVE,4,48,35,
4294,MOVE,0,65,63,
4294,MOVE,1,35,48,
4294,MOVE,2,35,48,
4294,MOVE,3,35,48,
4294,MOVE,4,35,48,
5050,MOVE,0,63,79,
5051,MOVE,1,48,62,
5051,MOVE,2,48,62,
5051,MOVE,3,48,62,
5051,MOVE,4,48,62,
6322,MOVE,0,79,67,
6323,MOVE,1,62,48,
6323,MOVE,4,62,48,
6323,MOVE,2,62,48,
6323,MOVE,3,62,48,
7866,MOVE,0,67,102,
7866,MOVE,2,48,63,
7866,MOVE,4,48,63,
7866,MOVE,3,48,63,
8642,MOVE,0,102,115,
8642,MOVE,2,63,65,
8642,MOVE,4,63,65,
8642,MOVE,3,63,64,
9097,MOVE,0,115,127,
9097,MOVE,2,65,67,
9097,MOVE,3,64,65,
9097,MOVE,4,65,82,
9746,MOVE,0,127,116,
9747,MOVE,2,67,102,
9747,MOVE,4,82,101,
9747,MOVE,3,65,66,
10223,MOVE,0,116,118,
10223,MOVE,2,102,86,
10223,MOVE,3,66,67,
10223,MOVE,4,101,114,
10624,MOVE,0,118,119,
10624,MOVE,2,86,87,
10624,MOVE,3,67,89,
10624,MOVE,4,114,115,
10825,MOVE,0,119,136,
10825,MOVE,2,87,88,
10825,MOVE,3,89,105,
10825,MOVE,4,115,127,
10941,MOVE,0,136,162,
timestamp,eventType,playerId,fromNode,toNode,details
5,MOVE,0,94,95,
5,MOVE,1,15,41,
5,MOVE,2,172,159,
5,MOVE,3,70,54,
5,MOVE,4,79,63,
5,MOVE,0,95,77,
5,MOVE,1,41,28,
5,MOVE,2,159,89,
5,MOVE,3,54,55,
5,MOVE,4,63,100,
5,MOVE,0,77,94,
6,MOVE,1,28,16,
6,MOVE,2,89,71,
6,MOVE,3,55,71,
6,MOVE,4,100,101,
6,MOVE,0,94,77,
6,MOVE,1,16,5,
6,MOVE,2,71,55,
6,MOVE,3,71,70,
6,MOVE,4,101,82,
6,MOVE,0,77,76,
6,MOVE,3,70,54,
6,MOVE,4,82,66,
6,MOVE,1,5,15,
6,MOVE,2,55,29,
6,MOVE,0,76,60,
6,MOVE,1,15,16,
6,MOVE,2,29,41,
6,MOVE,3,54,53,
6,MOVE,4,66,82,
6,MOVE,0,60,76,
6,MOVE,1,16,29,
6,MOVE,2,41,29,
6,MOVE,3,53,40,
6,MOVE,4,82,65,
6,MOVE,0,76,77,
6,MOVE,1,29,16,
6,MOVE,2,29,42,
6,MOVE,3,40,41,
6,MOVE,4,65,35,
6,MOVE,0,77,96,
6,MOVE,1,16,29,
6,MOVE,2,42,72,
6,MOVE,3,41,87,
6,MOVE,4,35,22,
6,MOVE,0,96,109,
6,MOVE,1,29,41,
6,MOVE,2,72,107,
6,MOVE,3,87,105,
6,MOVE,4,22,34,
6,MOVE,0,109,96,
6,MOVE,1,41,54,
6,MOVE,2,107,106,
6,MOVE,3,105,72,
6,MOVE,4,34,63,
6,MOVE,0,96,97,
6,MOVE,1,54,53,
6,MOVE,2,106,107,
6,MOVE,3,72,105,
6,MOVE,4,63,48,
6,MOVE,0,97,96,
6,MOVE,1,53,69,
6,MOVE,2,107,91,
6,MOVE,3,105,87,
6,MOVE,4,48,62,
6,MOVE,0,96,77,
6,MOVE,2,91,107,
6,MOVE,3,87,88,
6,MOVE,4,62,48,
6,MOVE,0,77,78,
6,MOVE,2,107,161,
6,MOVE,3,88,105,
6,MOVE,4,48,62,
6,MOVE,0,78,77,
6,MOVE,2,161,174,
6,MOVE,3,105,106,
6,MOVE,4,62,61,
6,MOVE,0,77,78,
6,MOVE,2,174,161,
6,MOVE,0,78,79,
6,MOVE,2,161,159,
6,MOVE,0,79,111,
7,MOVE,2,159,142,
7,MOVE,0,111,67,
7,MOVE,2,142,159,
7,MOVE,0,67,66,
7,MOVE,2,159,89,
7,MOVE,0,66,67,
7,MOVE,2,89,13,
7,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
450,MOVE,0,62,79,
450,MOVE,4,114,113,
450,MOVE,1,105,87,
450,MOVE,2,61,62,
450,MOVE,3,110,98,
1624,MOVE,0,79,93,
1624,MOVE,1,87,86,
1624,MOVE,3,98,79,
1624,MOVE,4,113,100,
1624,MOVE,2,62,61,
2038,MOVE,0,93,94,
2038,MOVE,1,86,102,
2038,MOVE,3,79,93,
2038,MOVE,2,61,76,
2038,MOVE,4,100,111,
2324,MOVE,0,94,95,
2324,MOVE,2,76,77,
2324,MOVE,1,102,83,
2324,MOVE,3,93,94,
2324,MOVE,4,111,124,
2447,MOVE,0,95,122,
2447,MOVE,2,77,95,
2447,MOVE,3,94,95,
2447,MOVE,4,124,123,
2447,MOVE,1,83,101,
2710,MOVE,0,122,146,
2710,MOVE,2,95,122,
2710,MOVE,3,95,122,
2710,MOVE,1,101,100,
2710,MOVE,4,123,144,
2836,MOVE,0,146,147,
2836,MOVE,2,122,146,
2836,MOVE,3,122,146,
2836,MOVE,4,144,163,
2837,MOVE,1,100,111,
2893,MOVE,0,147,164,
2893,MOVE,1,111,163,
2893,MOVE,2,146,147,
2893,MOVE,3,146,147,
2893,MOVE,4,163,164,
2893,GAME_END,,-,-,Detectives
