id,pos_x,pos_y,station_type
1,2,0,metro_bus_taxi
2,7,0,taxi
3,9,0,bus_taxi
4,11,0,taxi
5,17,0,taxi
6,19,0,taxi
7,21,0,bus_taxi
8,1,1,taxi
9,3,1,taxi
10,8,1,taxi
11,9,1,taxi
12,10,1,taxi
13,12,1,metro_bus_taxi
14,14,1,bus_taxi
15,15,1,bus_taxi
16,18,1,taxi
17,21,1,taxi
18,0,2,taxi
19,2,2,taxi
20,5,2,taxi
21,7,2,taxi
22,9,2,bus_taxi
23,11,2,bus_taxi
24,13,2,taxi
25,14,2,taxi
26,15,2,taxi
27,16,2,taxi
28,17,2,taxi
29,19,2,bus_taxi
30,22,2,taxi
31,1,3,taxi
32,3,3,taxi
33,6,3,taxi
34,8,3,bus_taxi
35,9,3,taxi
36,11,3,taxi
37,12,3,taxi
38,13,3,taxi
39,15,3,taxi
40,16,3,taxi
41,17,3,bus_taxi
42,21,3,bus_taxi
43,0,4,taxi
44,2,4,taxi
45,4,4,taxi
46,6,4,metro_bus_taxi
47,7,4,taxi
48,8,4,taxi
49,12,4,taxi
50,13,4,taxi
51,14,4,taxi
52,15,4,bus_taxi
53,16,4,taxi
54,17,4,taxi
55,19,4,bus_taxi
56,22,4,taxi
57,1,5,taxi
58,3,5,bus_taxi
59,4,5,taxi
60,5,5,taxi
61,6,5,taxi
62,7,5,taxi
63,8,5,bus_taxi
64,9,5,taxi
65,11,5,bus_taxi
66,12,5,taxi
67,14,5,metro_bus_taxi
68,15,5,taxi
69,16,5,taxi
70,17,5,taxi
71,19,5,taxi
72,21,5,bus_taxi
73,1,6,taxi
74,2,6,metro_bus_taxi
75,3,6,taxi
76,4,6,taxi
77,5,6,bus_taxi
78,6,6,bus_taxi
79,7,6,metro_bus_taxi
80,8,6,taxi
81,10,6,taxi
82,11,6,bus_taxi
83,13,6,taxi
84,14,6,taxi
85,15,6,taxi
86,16,6,bus_taxi
87,17,6,bus_taxi
88,18,6,taxi
89,19,6,metro_bus_taxi
90,20,6,taxi
91,22,6,taxi
92,0,7,taxi
93,1,7,metro_bus_taxi
94,2,7,bus_taxi
95,3,7,taxi
96,5,7,taxi
97,6,7,taxi
98,7,7,taxi
99,8,7,taxi
100,9,7,bus_taxi
101,12,7,taxi
102,14,7,bus_taxi
103,15,7,taxi
104,16,7,taxi
105,19,7,bus_taxi
106,21,7,taxi
107,22,7,bus_taxi
109,6,8,taxi
110,7,8,taxi
111,8,8,metro_bus_taxi
112,9,8,taxi
113,10,8,taxi
114,12,8,taxi
115,14,8,taxi_water
116,16,8,bus_taxi
117,18,8,taxi
118,19,8,taxi_water
119,22,8,taxi
120,0,9,taxi
121,1,9,taxi
122,3,9,bus_taxi
123,4,9,bus_taxi
124,6,9,bus_taxi
125,9,9,taxi
126,13,9,taxi
127,15,9,bus_taxi
128,16,9,taxi
129,18,9,taxi
130,8,10,taxi
131,10,10,taxi
132,12,10,taxi
133,14,10,bus_taxi
134,15,10,taxi
135,19,10,bus_taxi
136,22,10,taxi
137,4,11,taxi
138,7,11,taxi
139,8,11,taxi
140,12,11,metro_bus_taxi
141,14,11,taxi
142,16,11,bus_taxi
143,18,11,taxi
144,0,12,bus_taxi
145,1,12,taxi
146,2,12,taxi
147,3,12,taxi
148,4,12,taxi
149,5,12,taxi
150,6,12,taxi
151,7,12,taxi
152,8,12,taxi
153,9,12,metro_bus_taxi
154,10,12,bus_taxi
155,11,12,taxi
156,12,12,bus_taxi
157,14,12,bus_taxi_water
158,15,12,taxi
159,17,12,metro_bus_taxi
160,19,12,taxi
161,20,12,bus_taxi
162,22,12,taxi
163,2,13,metro_bus_taxi
164,3,13,taxi
165,5,13,bus_taxi
166,9,13,taxi
167,10,13,taxi
168,11,13,taxi
169,12,13,taxi
170,14,13,taxi
171,15,13,taxi
172,17,13,taxi
173,19,13,taxi
174,21,13,taxi
175,22,13,taxi
176,0,14,bus_taxi
177,1,14,taxi
178,3,14,taxi
179,5,14,taxi
180,6,14,bus_taxi
181,8,14,taxi
182,9,14,taxi
183,10,14,taxi
184,11,14,bus_taxi
185,14,14,metro_bus_taxi
186,15,14,taxi
187,16,14,bus_taxi
188,18,14,taxi
189,1,15,taxi
190,2,15,bus_taxi
191,3,15,bus_taxi
192,4,15,taxi
193,7,15,taxi
194,8,15,taxi_water
195,9,15,taxi
196,10,15,taxi
197,11,15,taxi
198,15,15,taxi
199,18,15,bus_taxi
200,19,15,none
