timestamp,eventType,playerId,fromNode,toNode,details
2014,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2235,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
11560,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2125,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1967,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1689,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2120,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1773,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2831,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2121,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2215,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2143,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
3728,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1948,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2299,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1839,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2189,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2221,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2617,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2377,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2471,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2423,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1955,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2202,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2065,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
1964,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2487,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2003,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2069,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1352,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
1606,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2158,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2010,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2387,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1879,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2163,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2018,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2057,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2320,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1965,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2005,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2138,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2416,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1964,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1938,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2083,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1416,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2012,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2213,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2279,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1977,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1900,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2109,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2071,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2302,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1808,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2628,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2177,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1745,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2177,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1971,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
