timestamp,eventType,playerId,fromNode,toNode,details
798,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
780,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
740,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
818,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
713,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
798,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
773,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
764,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
620,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
784,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
772,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
780,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
736,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
777,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
831,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
576,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
600,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
760,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
573,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
749,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
776,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
774,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
689,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
765,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
936,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
779,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
856,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
831,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
786,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
788,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
784,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
788,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
794,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
821,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
783,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
945,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
649,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
780,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
832,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
754,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
778,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
700,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
816,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
791,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
795,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
795,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
760,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
764,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
609,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
762,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
769,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
776,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
685,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
773,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
653,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
803,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
751,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
801,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
769,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
749,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
767,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
737,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
641,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
778,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
812,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
574,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
736,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
808,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
566,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
708,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
758,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
749,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
798,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
764,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
771,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
586,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
760,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
778,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
781,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
782,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
761,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
565,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
756,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
767,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
760,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
644,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
771,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
763,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
771,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
818,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
768,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
793,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
795,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
768,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
614,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
766,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
795,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
674,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
751,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
818,GAME_END,,-,-,MisterX
