timestamp,eventType,playerId,fromNode,toNode,details
534,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
574,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
548,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
565,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
574,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
587,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
580,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
540,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
550,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
614,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
588,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
548,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
563,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
552,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
534,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
562,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
536,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
537,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
563,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
540,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
556,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
550,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
553,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
559,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
603,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
544,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
548,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
540,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
558,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
576,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
531,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
568,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
552,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
554,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
608,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
533,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
652,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
542,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
535,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
574,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
531,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
561,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
543,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
558,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
548,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
555,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
545,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
591,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
566,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
595,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
605,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
566,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
575,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
550,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
566,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
550,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
534,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
572,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
576,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
541,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
552,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
550,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
540,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
539,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
536,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
529,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
553,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
537,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
534,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
541,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
545,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
554,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
557,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
532,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
535,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
539,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
605,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
532,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
558,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
578,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
547,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
541,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
563,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
563,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
533,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
552,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
543,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
548,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
543,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
534,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
531,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
547,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
544,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
551,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
566,GAME_END,,-,-,Detectives
