timestamp,eventType,playerId,fromNode,toNode,details
538,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
487,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
623,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
708,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
589,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
501,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
741,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
209,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
577,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
499,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
625,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
693,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
206,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
865,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
161,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
704,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
123,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
734,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
693,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
196,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
652,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
298,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
182,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
459,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
546,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
131,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
399,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
94,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
366,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
