timestamp,eventType,playerId,fromNode,toNode,details
10065,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
9312,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7146,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8288,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7294,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8074,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
9939,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6848,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7896,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2920,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
3733,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7888,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8136,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
5610,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6374,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
2346,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
6577,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7356,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8368,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
4041,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
2223,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
3718,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
8190,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8254,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7220,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7432,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
5771,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8537,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7094,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8876,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6927,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7013,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
5348,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
4220,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7008,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7787,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6459,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7678,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
5722,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
8618,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7259,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7002,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8930,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
5934,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
5218,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
6688,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7165,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6447,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7345,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
8665,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7767,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
1922,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
8034,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7804,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7748,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
5995,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6601,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
1919,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
1504,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
7307,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
6963,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7658,GAME_END,,-,-,MisterX
timestamp,eventType,playerId,fromNode,toNode,details
7957,GAME_END,,-,-,Detectives
timestamp,eventType,playerId,fromNode,toNode,details
8049,GAME_END,,-,-,MisterX
