timestamp,role,opponent,games,wins,losses,win_rate,avg_reward,secs_per_game,duration_mins
2026-01-10T10:53:43.597550,MrX,random,500,341,159,68.2,0.00,0.32,2.7
2026-01-10T10:53:58.606772,Detective,random,500,197,303,39.4,0.00,0.35,2.9
2026-01-10T10:55:53.716209,MrX,greedy,500,94,406,18.8,0.00,0.26,2.2
2026-01-10T10:58:54.788410,Detective,distmax,500,108,392,21.6,0.00,0.59,4.9
2026-01-10T11:00:26.015844,MrX,montecarlo,500,402,98,80.4,0.00,0.54,4.5
2026-01-10T11:07:29.202501,Detective,decoy,500,88,412,17.6,0.00,1.03,8.6
2026-01-10T11:30:27.671987,Detective,montecarlo,100,25,75,25.0,0.00,13.78,23.0
2026-01-10T11:30:28.614796,MrX,minimax,50,38,12,76.0,0.00,36.05,30.0
2026-01-10T11:33:13.834835,Detective,random,500,183,317,36.6,0.00,0.31,2.6
2026-01-10T11:33:14.856759,MrX,random,500,316,184,63.2,0.00,0.31,2.6
2026-01-10T11:35:25.027292,MrX,greedy,500,101,399,20.2,0.00,0.26,2.2
2026-01-10T11:37:37.172481,MrX,montecarlo,250,164,86,65.6,0.00,0.53,2.2
2026-01-10T11:37:38.423017,Detective,distmax,450,155,295,34.4,0.00,0.59,4.4
