timestamp,role,opponent,games,wins,losses,win_rate,avg_reward,secs_per_game,duration_mins
2026-01-09T18:26:55.272274,MrX,random,500,332,168,66.4,0.00,0.32,2.7
2026-01-09T18:27:48.543824,Detective,random,500,179,321,35.8,0.00,0.42,3.5
2026-01-09T18:30:02.491686,MrX,greedy,500,74,426,14.8,0.00,0.37,3.1
2026-01-09T18:31:28.136306,Detective,distmax,500,315,185,63.0,0.00,0.44,3.7
2026-01-09T18:44:06.602613,Detective,decoy,500,128,372,25.6,0.00,1.52,12.6
2026-01-09T20:04:31.665047,Detective,montecarlo,200,49,151,24.5,0.00,24.13,80.4
2026-01-09T20:04:31.997100,MrX,montecarlo,400,298,102,74.5,0.00,14.17,94.5
2026-01-09T20:07:38.307386,MrX,random,500,367,133,73.4,0.00,0.30,2.5
2026-01-09T20:09:19.275032,Detective,random,500,375,125,75.0,0.00,0.50,4.2
2026-01-09T20:09:54.427663,MrX,greedy,500,98,402,19.6,0.00,0.27,2.3
2026-01-09T20:11:57.385214,Detective,distmax,500,342,158,68.4,0.00,0.32,2.6
2026-01-09T20:20:55.664085,Detective,decoy,500,151,349,30.2,0.00,1.08,9.0
2026-01-09T21:43:18.596228,MrX,montecarlo,500,195,305,39.0,0.00,11.21,93.4
2026-01-09T23:21:57.472692,Detective,montecarlo,500,145,355,29.0,0.00,21.72,181.0
2026-01-09T23:39:11.369801,MrX,minimax,500,352,148,70.4,0.00,13.91,115.9
2026-01-09T23:40:39.499527,MrX,frontsearch,500,113,387,22.6,0.00,0.18,1.5
2026-01-09T23:42:10.188121,Detective,dfs,500,390,110,78.0,0.00,2.43,20.2
2026-01-10T01:47:35.997942,MrX,random,500,332,168,66.4,0.00,0.26,2.1
2026-01-10T01:48:51.074202,Detective,random,500,344,156,68.8,0.00,0.40,3.4
2026-01-10T01:50:36.131572,MrX,greedy,500,96,404,19.2,0.00,0.36,3.0
